,date,ticker,company_name,person_name,person_category,number_of_securities,transaction_type,shares_before_acq,shares_after_acq,pct_before_acq,pct_after_acq,acq_mode,security_type,xbrl_link
0,2023-09-12 23:15:00,SHREDIGCEM,Shree Digvijay Cement Co.Ltd,rajeev nambiar,key managerial personnel,30000,Sell,609244,579244,0.42,0.4,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1152206_930238_12092023111547_WEB.xml
1,2023-09-12 20:45:00,HCG,Healthcare Global Enterprises Limited,ashutosh kumar,employees/designated employees,2000,Sell,2000,0,0.0,0.0,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1152204_930225_12092023084520_WEB.xml
2,2023-09-12 20:08:00,JSWENERGY,JSW Energy Limited,jsw energy employees welfare trust,other,16565,Sell,3398054,3381489,0.21,0.21,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1152202_930215_12092023080846_WEB.xml
3,2023-09-12 20:08:00,JSLL,Jeena Sikho Lifecare Limited,mukesh grover,promoter group,1500,Buy,3410,4910,0.02,0.04,Market Purchase,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1152201_930212_12092023080805_WEB.xml
4,2023-09-12 19:47:00,GNA,GNA Axles Limited,gna gears limited,promoter group,100,Buy,12500,12600,0.06,0.06,Market Purchase,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1152198_930198_12092023074721_WEB.xml
5,2023-09-12 19:21:00,360ONE,360 ONE WAM LIMITED,gaurav chaturvedi,-,5600,Sell,5604,4,0.0,0.0,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1152195_930188_12092023072107_WEB.xml
6,2023-09-12 19:21:00,360ONE,360 ONE WAM LIMITED,pawan mundhra,-,5000,Sell,144900,139900,0.04,0.04,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1152195_930188_12092023072107_WEB.xml
7,2023-09-12 19:21:00,360ONE,360 ONE WAM LIMITED,ranjit maijikar,-,3864,Sell,5516,1652,0.0,0.0,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1152195_930188_12092023072107_WEB.xml
8,2023-09-12 19:21:00,360ONE,360 ONE WAM LIMITED,sameer gambhir,-,7000,Sell,25478,18478,0.01,0.01,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1152195_930188_12092023072107_WEB.xml
9,2023-09-12 19:21:00,360ONE,360 ONE WAM LIMITED,savio dsouza,-,3000,Sell,9758,6758,0.0,0.0,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1152195_930188_12092023072107_WEB.xml
